,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
19,Jerome Robinson,added Jerome Robinson to LAC,0.0,0.0,2018-06-21 00:00:00,1,LAC,/players/r/robinje01.html,10.0,draft,-3741.2000000000003,-0.5,0.0,0.0,False,0.0,0.0,-9204.199999999999,-1.7000000000000008,-46,-31,13,13,-8088.0,-1.2,1210.2,5.3
60,Terance Mann,added Terance Mann to LAC,0.0,0.0,2019-06-20 00:00:00,1,LAC,/players/m/mannte01.html,29.0,draft,-6321.300000000001,2.5000000000000004,0.0,0.0,False,0.0,0.0,-23612.299999999996,-13.499999999999998,37,8,48,48,-7280.8,2.8,-11160.0,-0.5
165,Moussa Diabate,added Moussa Diabate to LAC,0.0,0.0,2022-06-23 00:00:00,1,LAC,/players/d/diabamo01.html,97.0,draft,-322.0,0.1,0.0,0.0,False,0.0,0.0,-6058.499999999974,12.999999999999998,24,12,43,43,-2700.0,0.1,-7923.6,-0.5
193,Kobe Brown,added Kobe Brown to LAC,0.0,0.0,2023-06-22 00:00:00,1,LAC,/players/b/brownko01.html,117.0,draft,-2068.3999999999996,-0.2,0.0,0.0,False,0.0,0.0,-17152.199999999975,13.299999999999995,-5,-1,30,30,-2064.6,-0.2,-1895.3999999999999,-0.1
194,Jordan Miller,added Jordan Miller to LAC,0.0,0.0,2023-06-22 00:00:00,1,LAC,/players/m/millejo02.html,117.0,draft,-1282.4,-0.1,0.0,0.0,False,0.0,0.0,-17152.199999999975,13.299999999999995,20,24,48,48,-1254.3999999999999,-0.1,-6448.700000000001,-0.8
217,Cam Christie,added Cam Christie to LAC,0.0,0.0,2024-06-27 00:00:00,1,LAC,/players/c/chrisca02.html,131.0,draft,-147.5,0.0,0.0,0.0,False,0.0,0.0,-8349.599999999977,17.499999999999996,26,30,46,46,-147.5,0.0,-4235.400000000001,-0.3
